X_id,Project.ID,Addresses,Anchor.Address,Status,Ward,Affordable.Homes.Approved..2020...Present.,Total.ARH.Approved..2017...Present.,Rent.Controlled.Market.Units.Approved,RGI.Homes.Approved,geometry
153,ARH0160,4040 Lawrence Avenue East,4040 Lawrence Ave E,Pre-Planning,24,67,67,67,6.7,"{'type': 'MultiPoint', 'coordinates': [[-79.19901183, 43.76600352]]}"
154,ARH0161,405 Sherbourne Street,405 Sherbourne St,Under Review,13,133,133,133,13.3,"{'type': 'MultiPoint', 'coordinates': [[-79.37335558, 43.66460723]]}"
155,ARH0162,419 - 425 Coxwell Avenue,425 Coxwell Ave,Occupied,19,12,12,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.32086239, 43.67748517]]}"
156,ARH0163,4201 & 4203 Kingston Road,4201 Kingston Rd,Pre-Planning,24,68,68,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.1961097, 43.75940725]]}"
157,ARH0165,45 Canyon Avenue and 4455 Bathurst Street,45 Canyon Avenue,Pre-Planning,6,0,27,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.43810323, 43.75834585]]}"
158,ARH0166,450 - 455 Palmerston Blvd,455 Palmerston Blvd,Under Review,11,10,10,NA,10,"{'type': 'MultiPoint', 'coordinates': [[-79.41198614, 43.66123297]]}"
159,ARH0167,4620 Eglinton Avenue West and 250 Wincott Drive,4620 Eglinton Ave W,Under Review,2,0,72,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.54601211, 43.67878143]]}"
160,ARH0168,4626 Kingston Road phase 1,4626 Kingston Rd,Occupied,25,20,20,NA,20,"{'type': 'MultiPoint', 'coordinates': [[-79.17989488, 43.77514363]]}"
161,ARH0169,4628 Kingston Road phase 2,4628 Kingston Rd,Under Construction,25,64,64,NA,64,"{'type': 'MultiPoint', 'coordinates': [[-79.17989488, 43.77514363]]}"
162,ARH0170,48 Annette Street,48 Annette St,Under Review,4,3,3,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.46135028, 43.66389279]]}"
163,ARH0171,"5, 7, 9, 11, 15 and 19 Cosburn Avenue and 8, 10, 12, 14, 16, 30, 32, 34, 36, 38 and 40 Gowan Avenue",5 Cosburn Ave,Under Review,14,10,10,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.354556, 43.688269]]}"
164,ARH0172,50 Regent Park Boulevard (Regent Park Phase 2 and 3),50 Regent Park Blvd,Pre-Planning,13,0,47,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3617469, 43.65942101]]}"
165,ARH0173,50 Wilson Heights,50 Wilson Heights Blvd,Under Review,6,520,520,520,52,"{'type': 'MultiPoint', 'coordinates': [[-79.44911461, 43.73538198]]}"
166,ARH0174,502-508 Spadina Ave,502 Spadina Ave,Under Review,11,129,129,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.40081069, 43.65869418]]}"
167,ARH0175,51 Panorama Court,51 Panorama Court,Pre-Planning,1,0,160,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.57730338, 43.74693498]]}"
168,ARH0176,510-528 Yonge Street and 7 Breadalbane StreetÃ¿,510 Yonge St,Under Review,13,25,25,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38417999, 43.66342015]]}"
169,ARH0177,525 Markham Road,525 Markham Rd,Final Planning Approval,24,62,62,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.22397358, 43.75675421]]}"
170,ARH0178,5365 Dundas Street West,20 Samuel Wood Way,Occupied,3,0,50,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.540216, 43.635053]]}"
171,ARH0179,540 Cedarvale Avenue,540 Cedarvale Ave,Occupied,19,59,59,NA,59,"{'type': 'MultiPoint', 'coordinates': [[-79.31672339, 43.69838232]]}"
172,ARH0180,54-56 Kensington Avenue,54 Kensington Ave,Occupied,11,12,12,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.40059628, 43.65412037]]}"
173,ARH0181,55 & 57 Humewood Drive,55 Humewood Drive,Occupied,12,0,8,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4264737, 43.68407879]]}"
174,ARH0182,5507 and 5509 Dundas Street West,5507 Dundas St W,Under Review,3,6,6,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.54476522, 43.63167275]]}"
175,ARH0183,"55-95 Lake Shore Blvd East, 33-53 Freeland Street and 2 and 15 Cooper Street (Block 2)",55 Lake Shore Blvd E,Under Construction,10,0,205,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.37305603, 43.64464972]]}"
176,ARH0184,"55-95 Lake Shore Blvd East, 33-53 Freeland Street and 2 and 15 Cooper Street (Block 4)",55 Lake Shore Blvd E,Under Construction,10,0,204,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.37305603, 43.64464972]]}"
177,ARH0185,591 Finch Street West,591 Finch Ave W,Under Review,6,0,159,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.451187, 43.772118]]}"
178,ARH0186,592 Sherbourne Street and 15 Selby St,15 Selby St,Occupied,13,0,5,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.37752861, 43.67103602]]}"
